# R_sersic,n_sersic,e1,e2,Ie,sky_intensity
1.015816092491149902e+00,3.696583986282348633e+00,-1.142287552356719971e-01,-3.121131062507629395e-01,2.845919335937500000e+04,2.463254332542419434e-01
1.364114522933959961e+00,3.444900751113891602e+00,1.963981091976165771e-01,-3.636936843395233154e-02,2.128693695068359375e+02,1.381860733032226562e+00
1.371176362037658691e+00,3.807728290557861328e+00,-1.258230209350585938e-01,-6.661256551742553711e-01,1.277660253906250000e+04,8.024942874908447266e-01
1.884406805038452148e+00,3.563105106353759766e+00,-2.846082448959350586e-01,1.226900666952133179e-01,2.460104370117187500e+02,6.953419446945190430e-01
4.758029282093048096e-01,4.113661766052246094e+00,-5.872577428817749023e-01,3.819012939929962158e-01,1.318587207031250000e+04,4.033703207969665527e-01
1.889788269996643066e+00,3.492988586425781250e+00,-2.488228827714920044e-01,1.387573182582855225e-01,6.394972801208496094e-01,1.496604561805725098e+00
5.507003068923950195e-01,3.871538639068603516e+00,-1.977541893720626831e-01,-3.551705479621887207e-01,4.455268554687500000e+02,3.287284970283508301e-01
9.322276711463928223e-02,5.116391658782958984e+00,-1.401918232440948486e-01,6.178562343120574951e-02,2.419518066406250000e+03,1.443862676620483398e+00
8.860671520233154297e-02,3.613295078277587891e+00,-5.750654637813568115e-02,-4.935652911663055420e-01,1.115837207031250000e+04,3.960092961788177490e-01
1.228176116943359375e+00,3.606587171554565430e+00,3.141172230243682861e-01,-1.633652895689010620e-01,5.086365890502929688e+01,1.106846690177917480e+00
4.452825710177421570e-02,4.267605781555175781e+00,4.261144697666168213e-01,-2.355948686599731445e-01,1.033974121093750000e+03,1.072313547134399414e+00
1.518316507339477539e+00,4.148743629455566406e+00,-1.073224693536758423e-01,5.770058557391166687e-02,3.712941360473632812e+01,1.009739160537719727e+00
2.463105022907257080e-01,3.883776664733886719e+00,3.958247005939483643e-01,-1.711858250200748444e-02,1.007827758789062500e+02,2.816318273544311523e-01
1.738778948783874512e+00,3.728215932846069336e+00,4.617835283279418945e-01,7.916795611381530762e-01,1.857076416015625000e+02,1.083317622542381287e-01
1.642842650413513184e+00,4.095184803009033203e+00,-2.149099856615066528e-02,2.751183211803436279e-01,1.928571289062500000e+04,1.047718644142150879e+00
1.055976867675781250e+00,4.105017662048339844e+00,-1.460829526185989380e-01,-1.599565148353576660e-02,2.676221847534179688e+01,1.147012472152709961e+00
1.428347378969192505e-01,3.441630125045776367e+00,2.587398290634155273e-01,4.642489831894636154e-03,1.940774414062500000e+04,8.645203113555908203e-01
1.412674188613891602e+00,2.997251510620117188e+00,5.753494426608085632e-02,-4.828050360083580017e-02,5.054032714843750000e+03,5.587644577026367188e-01
7.677646279335021973e-01,3.976121187210083008e+00,-4.253115653991699219e-01,-1.940614730119705200e-01,3.983784103393554688e+01,1.463779449462890625e+00
6.039283275604248047e-01,3.178606510162353516e+00,5.120432749390602112e-02,1.574325859546661377e-01,4.898517578125000000e+03,1.351175606250762939e-01
9.500613808631896973e-01,3.381264209747314453e+00,5.260421037673950195e-01,2.372341006994247437e-01,2.539454269409179688e+01,5.481296181678771973e-01
1.925647377967834473e+00,3.917102336883544922e+00,2.661241590976715088e-01,-6.847038269042968750e-01,1.036827636718750000e+03,1.151439070701599121e+00
1.380591273307800293e+00,3.605370044708251953e+00,1.218457221984863281e-01,-1.348921954631805420e-01,9.745162725448608398e-01,1.452174663543701172e+00
1.869755506515502930e+00,4.531499385833740234e+00,3.049958646297454834e-01,-2.401045560836791992e-01,7.769818115234375000e+01,1.145689725875854492e+00
1.664068341255187988e+00,3.629259109497070312e+00,4.560370147228240967e-01,-3.329222500324249268e-01,5.639793945312500000e+03,7.873284816741943359e-01
9.307716488838195801e-01,3.295561313629150391e+00,-9.872223436832427979e-02,-5.821297168731689453e-01,3.044532031250000000e+04,6.508923768997192383e-01
9.234874844551086426e-01,3.708626270294189453e+00,-6.311830878257751465e-02,-4.349246621131896973e-02,9.181273053400218487e-04,1.454257011413574219e+00
2.558983266353607178e-01,4.608821868896484375e+00,-2.609251439571380615e-01,4.480749741196632385e-02,1.018681335449218750e+02,5.039544701576232910e-01
1.102605938911437988e+00,3.917309999465942383e+00,6.488879770040512085e-02,1.261778473854064941e-01,6.870571093750000000e+04,3.128755390644073486e-01
9.889409542083740234e-01,3.260102748870849609e+00,2.416833192110061646e-01,1.797393411397933960e-01,8.534716606140136719e+00,1.354660034179687500e+00
7.523187398910522461e-01,4.514124870300292969e+00,-1.533849090337753296e-01,7.587257027626037598e-02,1.050349511718750000e+04,2.970053255558013916e-01
1.969940900802612305e+00,3.687928438186645508e+00,7.125367224216461182e-02,-5.467984825372695923e-02,1.329680061340332031e+01,1.174688339233398438e-01
1.943216443061828613e+00,3.629956245422363281e+00,-1.373125314712524414e-01,-1.760621219873428345e-01,6.074876464843750000e+03,1.251349449157714844e+00
