parameter,median,lower,upper
theta_E,1.500502,1.499676,1.501354
e1_mass,-0.054421,-0.057852,-0.050822
e2_mass,-0.004896,-0.007777,-0.002026
gamma1,0.049467,0.047555,0.051384
gamma2,0.048488,0.047001,0.050015
R_sersic_src,0.302474,0.299797,0.305179
n_sersic_src,1.006362,0.993095,1.020128
e1_src,0.049799,0.044911,0.054627
e2_src,0.052195,0.048254,0.055913
center_x_src,0.001106,-0.000055,0.002277
center_y_src,0.300257,0.299288,0.301333
R_sersic_lens,0.985752,0.973827,0.998101
n_sersic_lens,4.001129,3.972157,4.031194
e1_lens,-0.049620,-0.051267,-0.047941
e2_lens,-0.001492,-0.003147,0.000211
