# theta_E,e1_mass,e2_mass,gamma1,gamma2,e1_src,e2_src,center_x_src,center_y_src,e1_lens,e2_lens,center_x_lens,center_y_lens
1.251442074775695801e+00,3.161204457283020020e-01,-6.579283475875854492e-01,7.816548645496368408e-02,-5.608548223972320557e-02,3.433771431446075439e-01,4.478106498718261719e-01,1.209930628538131714e-01,7.524942159652709961e-01,-3.584339320659637451e-01,3.232325613498687744e-01,1.293442249298095703e-01,-1.926453113555908203e-01
2.703573703765869141e+00,3.206256031990051270e-01,1.487845331430435181e-01,1.536896973848342896e-01,-1.425176113843917847e-01,-2.206106334924697876e-01,-4.745822027325630188e-02,2.642383277416229248e-01,-5.633563399314880371e-01,6.739515066146850586e-01,-1.249164566397666931e-01,-6.215994060039520264e-02,2.666966021060943604e-01
1.899494409561157227e+00,9.859515121206641197e-04,-2.756201326847076416e-01,-8.296480029821395874e-02,-3.743094205856323242e-02,-2.257519811391830444e-01,3.425911962985992432e-01,3.237145841121673584e-01,-4.886324331164360046e-02,3.883334100246429443e-01,-1.238954365253448486e-01,1.784278005361557007e-01,4.318223800510168076e-03
1.746527791023254395e+00,1.472342461347579956e-01,7.008979469537734985e-02,1.717649847269058228e-01,-7.486069202423095703e-02,1.058983355760574341e-01,4.809902608394622803e-01,1.410181224346160889e-01,-1.263295173645019531e+00,-1.326650530099868774e-01,-2.908084392547607422e-01,1.289753913879394531e-01,8.121625334024429321e-02
8.953631520271301270e-01,-1.631764322519302368e-01,3.653883934020996094e-01,5.325679481029510498e-02,-1.571368873119354248e-01,9.549999609589576721e-03,-1.501228939741849899e-02,5.520949363708496094e-01,-6.955195069313049316e-01,-4.670045673847198486e-01,-2.015627771615982056e-01,-1.896042972803115845e-01,5.428767576813697815e-02
2.789895296096801758e+00,1.003802940249443054e-01,3.335442841053009033e-01,4.689517617225646973e-02,-1.415498405694961548e-01,9.139626473188400269e-02,-1.281489878892898560e-01,7.778725773096084595e-02,2.225524038076400757e-01,-4.126628637313842773e-01,-5.725972056388854980e-01,3.947005420923233032e-02,-4.911582544445991516e-02
4.992583394050598145e-01,-7.357147336006164551e-02,2.594588696956634521e-01,-1.753112077713012695e-01,-6.425133347511291504e-02,2.718578279018402100e-01,8.039331436157226562e-01,-4.626692533493041992e-01,-3.066188991069793701e-01,3.731183409690856934e-01,-4.386626183986663818e-01,4.279452562332153320e-02,1.247221753001213074e-01
9.301328063011169434e-01,6.238435581326484680e-02,3.648313507437705994e-02,-3.107587993144989014e-02,-1.687810420989990234e-01,3.696651458740234375e-01,3.957360051572322845e-03,9.108315110206604004e-01,-5.353051424026489258e-01,-2.969351410865783691e-01,4.006806910037994385e-01,-6.734223663806915283e-02,1.062121614813804626e-01
4.427371621131896973e-01,-4.075958207249641418e-02,2.108961716294288635e-02,1.067146211862564087e-01,-1.508911252021789551e-01,1.685162074863910675e-02,-3.898446261882781982e-01,-6.471122503280639648e-01,-8.415085077285766602e-01,-5.071437954902648926e-01,2.797954976558685303e-01,1.793206036090850830e-01,-5.641664192080497742e-02
1.094284057617187500e+00,3.668620586395263672e-01,-3.294240534305572510e-01,-6.838847696781158447e-02,4.769968986511230469e-02,-1.148727759718894958e-01,-2.390089929103851318e-01,-6.769055873155593872e-02,-2.610195279121398926e-01,3.620047867298126221e-01,2.723585963249206543e-01,9.027858078479766846e-02,4.499553143978118896e-02
3.320441395044326782e-02,1.773617565631866455e-01,1.962175965309143066e-01,1.537988930940628052e-01,1.998307555913925171e-01,5.372598171234130859e-01,2.103520780801773071e-01,3.513214290142059326e-01,4.222841560840606689e-01,-4.721849858760833740e-01,-2.296359837055206299e-01,1.123758926987648010e-01,4.095577076077461243e-02
9.894190430641174316e-01,-2.515528500080108643e-01,2.738540172576904297e-01,-6.010136008262634277e-02,6.673187017440795898e-03,-3.309368193149566650e-01,4.750406742095947266e-01,1.673705726861953735e-01,-6.684828996658325195e-01,-3.794220387935638428e-01,-9.596756845712661743e-02,1.379993557929992676e-01,-3.377409279346466064e-02
8.886436223983764648e-01,-5.504880547523498535e-01,-1.558105796575546265e-01,-4.800546169281005859e-02,-1.389466226100921631e-01,-2.143113166093826294e-01,4.127147495746612549e-01,4.950682818889617920e-01,7.763150334358215332e-02,-2.290643453598022461e-01,3.972088396549224854e-01,1.709977537393569946e-01,6.290073040872812271e-03
6.496407389640808105e-01,4.417322278022766113e-01,-3.419189453125000000e-01,1.276283115148544312e-01,-3.341630101203918457e-02,-3.422477245330810547e-01,-4.438351988792419434e-01,3.033568151295185089e-02,6.219103336334228516e-01,4.324070513248443604e-01,1.937282532453536987e-01,-3.143176138401031494e-01,-9.762851148843765259e-02
1.642074733972549438e-01,1.654054075479507446e-01,-1.431976854801177979e-01,1.832663267850875854e-01,1.920052915811538696e-01,-1.613026857376098633e-01,2.479202002286911011e-01,7.537207603454589844e-01,2.828728556632995605e-01,6.060755625367164612e-02,-5.342246890068054199e-01,1.050549522042274475e-01,-1.883411407470703125e-01
2.026090383529663086e+00,-2.114232927560806274e-01,-5.441964864730834961e-01,3.831906616687774658e-02,1.402118653059005737e-01,-2.468170821666717529e-01,-9.741790592670440674e-02,6.283779740333557129e-01,2.867999374866485596e-01,-9.106168150901794434e-02,-2.071145474910736084e-01,1.814128607511520386e-01,-4.203031957149505615e-02
1.178596735000610352e+00,-6.151040643453598022e-02,3.378210067749023438e-01,6.793870031833648682e-02,-2.234706282615661621e-02,1.650379300117492676e-01,-9.283832311630249023e-01,7.337527871131896973e-01,-2.269860804080963135e-01,4.935153722763061523e-01,-1.651162505149841309e-01,-3.051779419183731079e-02,-4.963043704628944397e-02
2.159670114517211914e+00,1.464969366788864136e-01,2.125208266079425812e-03,6.423205137252807617e-03,-1.792440116405487061e-01,4.032340943813323975e-01,-4.049677848815917969e-01,-1.227568164467811584e-01,4.268271923065185547e-01,3.332550823688507080e-01,-6.887772679328918457e-01,-3.027815744280815125e-02,1.373616792261600494e-02
2.280898809432983398e+00,-2.302331328392028809e-01,3.210226297378540039e-01,4.748785495758056641e-02,3.629791736602783203e-02,-4.303273558616638184e-01,-1.412874907255172729e-01,-8.351274728775024414e-01,1.813873946666717529e-01,4.876196980476379395e-01,-1.555029600858688354e-01,2.507040277123451233e-02,8.141890913248062134e-02
9.916620850563049316e-01,3.095920979976654053e-01,-4.190150201320648193e-01,-1.488646566867828369e-01,2.791061997413635254e-02,-1.844618916511535645e-01,1.158326957374811172e-02,-5.717533826828002930e-01,-1.919420361518859863e-01,-2.459463924169540405e-01,6.343429684638977051e-01,-6.274577230215072632e-02,-6.462725251913070679e-02
2.189677715301513672e+00,1.289598345756530762e-01,5.602812767028808594e-02,-7.387739419937133789e-02,-2.490623295307159424e-02,-4.832795858383178711e-01,-3.275920450687408447e-01,-1.045892760157585144e-01,-2.095917165279388428e-01,2.540430426597595215e-01,-1.883569359779357910e-01,1.004893854260444641e-01,-5.285543948411941528e-02
1.281283020973205566e+00,-1.545253545045852661e-01,1.835372857749462128e-02,9.893883764743804932e-02,8.917964994907379150e-02,-7.312231510877609253e-02,-1.708899438381195068e-01,-2.216947972774505615e-01,-1.295866221189498901e-01,-6.343400478363037109e-01,-3.056661486625671387e-01,1.048424169421195984e-01,-1.256003137677907944e-02
1.779344916343688965e+00,-9.855555742979049683e-02,2.871574461460113525e-01,-1.137904971837997437e-01,-1.574464440345764160e-01,2.066647112369537354e-01,-1.851393729448318481e-01,-5.756446123123168945e-01,4.188485443592071533e-01,1.515780538320541382e-01,-1.664862930774688721e-01,-8.880199491977691650e-02,2.018977403640747070e-01
1.452112793922424316e+00,-5.641383305191993713e-02,5.188715085387229919e-02,2.888140082359313965e-02,7.299734652042388916e-02,-6.969077140092849731e-02,1.946482360363006592e-01,4.442521333694458008e-01,-2.453387677669525146e-01,3.170850276947021484e-01,-1.985204778611660004e-02,-2.269910275936126709e-01,1.721868962049484253e-01
2.791837453842163086e+00,2.401838898658752441e-01,-3.449689745903015137e-01,-1.670816838741302490e-01,-1.202067732810974121e-02,-3.675469160079956055e-01,1.974997222423553467e-01,-4.742269814014434814e-01,-9.452279210090637207e-01,-1.727419942617416382e-01,-9.276939034461975098e-01,-4.249553009867668152e-02,4.069338366389274597e-02
1.279629588127136230e+00,-2.558445334434509277e-01,4.714370071887969971e-01,-1.428988277912139893e-01,1.650651246309280396e-01,-3.021124191582202911e-02,-2.946389093995094299e-02,5.214895009994506836e-01,6.710343360900878906e-01,1.094846054911613464e-01,8.755039572715759277e-01,-1.606902107596397400e-02,7.099046558141708374e-02
9.826049208641052246e-01,3.137945756316184998e-02,-1.905980259180068970e-01,1.506076008081436157e-01,4.452660679817199707e-03,1.846825629472732544e-01,-1.599945574998855591e-01,-4.084674641489982605e-02,-2.839374840259552002e-01,-1.360728442668914795e-01,-7.897651195526123047e-01,-5.635164305567741394e-02,9.721718728542327881e-02
5.238147974014282227e-01,-1.271222829818725586e-01,-5.507238954305648804e-02,-7.341116666793823242e-03,8.832053840160369873e-02,1.184184774756431580e-01,-3.957044780254364014e-01,-1.499505490064620972e-01,-5.971292257308959961e-01,-5.653255581855773926e-01,5.884937569499015808e-02,-8.437071740627288818e-02,1.483588218688964844e-01
2.881771028041839600e-01,2.135460972785949707e-01,-7.997819781303405762e-02,-6.349457800388336182e-02,3.987929224967956543e-02,-2.599798142910003662e-02,-4.007219374179840088e-01,-5.568915009498596191e-01,5.112904310226440430e-01,1.217952072620391846e-01,-2.335949689149856567e-01,-1.274179220199584961e-01,-2.422899194061756134e-02
2.060882806777954102e+00,1.258333921432495117e-01,2.312809824943542480e-01,-8.490850031375885010e-02,2.920679748058319092e-02,3.715698122978210449e-01,1.429427266120910645e-01,3.047367930412292480e-01,-1.604551523923873901e-01,1.099462285637855530e-01,-6.145855784416198730e-01,-4.866240546107292175e-02,8.659399300813674927e-02
6.796138286590576172e-01,1.453158706426620483e-01,3.491013944149017334e-01,-4.561990499496459961e-03,-9.671445190906524658e-02,1.182469725608825684e-01,3.776568174362182617e-02,4.288875758647918701e-01,-5.398163795471191406e-01,-4.174760878086090088e-01,-7.776354551315307617e-01,1.526821106672286987e-01,3.479253128170967102e-02
1.704113721847534180e+00,2.313882708549499512e-01,3.410830348730087280e-02,-1.283922940492630005e-01,6.722524762153625488e-03,-5.672378838062286377e-02,-2.272286266088485718e-01,3.387675881385803223e-01,4.620783030986785889e-01,-5.386452749371528625e-02,-5.129538103938102722e-02,1.651703417301177979e-01,1.574811637401580811e-01
2.621910095214843750e+00,-2.373277693986892700e-01,6.178012862801551819e-02,-1.650625765323638916e-01,1.264206618070602417e-01,9.549265354871749878e-02,-1.715437918901443481e-01,-3.006705045700073242e-01,-2.943950705230236053e-02,-3.197262585163116455e-01,-3.734241724014282227e-01,-2.841874398291110992e-02,-1.396470889449119568e-02
5.381417870521545410e-01,-1.431061774492263794e-01,1.678414493799209595e-01,7.904495298862457275e-02,1.355876773595809937e-01,-3.789506256580352783e-01,-2.147105634212493896e-01,1.313727349042892456e-01,2.487926930189132690e-01,-4.430886507034301758e-01,3.405056595802307129e-01,1.149055808782577515e-01,1.170611456036567688e-01
2.219087600708007812e+00,1.187222003936767578e-01,2.724192850291728973e-02,-1.908046752214431763e-01,-1.874556243419647217e-01,-1.505794525146484375e-01,7.805339992046356201e-02,-1.704691797494888306e-01,1.181614279747009277e+00,-1.684393584728240967e-01,-4.592248201370239258e-01,-3.944418206810951233e-02,-2.043554782867431641e-01
2.153565406799316406e+00,-9.022191911935806274e-02,-2.832379043102264404e-01,4.228410124778747559e-02,-1.351243257522583008e-01,-2.629305720329284668e-01,5.288952589035034180e-02,-1.739336252212524414e-01,-1.818127185106277466e-01,-3.215713500976562500e-01,-3.550505042076110840e-01,-4.080354422330856323e-02,1.032448858022689819e-01
1.882890343666076660e+00,1.078349873423576355e-01,-4.049145281314849854e-01,-4.381744563579559326e-02,3.617501258850097656e-02,-3.288047313690185547e-01,3.290312886238098145e-01,-8.894885778427124023e-01,-1.657813340425491333e-01,3.489879369735717773e-01,-3.491894900798797607e-01,1.641311347484588623e-01,3.986612334847450256e-02
1.739811539649963379e+00,-2.808412611484527588e-01,6.603685021400451660e-01,9.544770419597625732e-02,6.720437109470367432e-02,-3.234733939170837402e-01,-3.494149744510650635e-01,-9.225701540708541870e-02,7.875097990036010742e-01,4.678437709808349609e-01,1.194575522094964981e-02,2.935773879289627075e-02,-1.208794210106134415e-02
1.330829262733459473e+00,-1.408107280731201172e-01,-1.443099230527877808e-01,-1.832969635725021362e-01,1.382061988115310669e-01,-5.420287251472473145e-01,1.666747480630874634e-01,1.232988834381103516e-01,-3.922075927257537842e-01,-1.646763682365417480e-01,5.081591606140136719e-01,-9.087664633989334106e-02,7.827159762382507324e-02
2.214331626892089844e+00,-5.580309033393859863e-01,5.806526169180870056e-02,-1.034384891390800476e-01,-9.081406891345977783e-02,-2.259669154882431030e-01,-3.457589447498321533e-02,3.426244109869003296e-02,-3.848396241664886475e-01,-1.703048646450042725e-01,-5.349068716168403625e-02,1.445353478193283081e-01,-1.606023907661437988e-01
2.164861202239990234e+00,-2.661979496479034424e-01,1.544226706027984619e-01,-8.287477493286132812e-02,-1.983305513858795166e-01,-2.273542135953903198e-01,-2.409716099500656128e-01,4.373567998409271240e-01,3.005167543888092041e-01,-1.393765211105346680e-01,1.903559714555740356e-01,6.743691861629486084e-02,1.926720887422561646e-01
1.812753915786743164e+00,5.577428340911865234e-01,2.806906700134277344e-01,1.471443325281143188e-01,7.081551849842071533e-02,-1.261051446199417114e-01,-1.113930344581604004e-01,1.057198271155357361e-02,-3.161775469779968262e-01,-4.900756776332855225e-01,3.283444643020629883e-01,6.543456763029098511e-02,-3.101265989243984222e-02
2.411977767944335938e+00,4.753391146659851074e-01,-6.112948060035705566e-01,1.241416484117507935e-01,4.168859124183654785e-02,-3.680876195430755615e-01,4.902536422014236450e-02,-5.963179469108581543e-01,-4.305888414382934570e-01,-8.923874795436859131e-02,1.770355999469757080e-01,-8.795205503702163696e-02,-2.034860998392105103e-01
1.805572032928466797e+00,1.037574708461761475e-01,2.674533724784851074e-01,-1.163914278149604797e-01,1.007589250802993774e-01,3.687412738800048828e-01,-1.694837063550949097e-01,-2.001200616359710693e-01,3.942851424217224121e-01,4.150578975677490234e-01,3.485429883003234863e-01,5.728438124060630798e-02,6.263012439012527466e-02
2.195152759552001953e+00,-3.212423920631408691e-01,4.652365744113922119e-01,7.206414639949798584e-02,-1.770325303077697754e-01,8.443916589021682739e-02,-1.515428274869918823e-01,-1.330827772617340088e-01,-4.148660898208618164e-01,3.156003654003143311e-01,1.294613629579544067e-01,-7.297323551028966904e-03,2.985568642616271973e-01
7.379314899444580078e-01,7.410695403814315796e-02,5.061040520668029785e-01,-1.800124943256378174e-01,-1.786048412322998047e-01,-2.960834503173828125e-01,-4.403613805770874023e-01,2.031136900186538696e-01,4.459432661533355713e-01,5.167123675346374512e-02,2.131587117910385132e-01,2.394214086234569550e-02,-2.429648190736770630e-01
1.604195356369018555e+00,-2.248405963182449341e-01,3.450668454170227051e-01,8.073811233043670654e-02,-1.035362929105758667e-01,1.663360595703125000e-01,1.180734857916831970e-01,4.144973456859588623e-01,-1.261393547058105469e+00,-1.832951009273529053e-01,-3.295019865036010742e-01,1.596689820289611816e-01,-2.127641253173351288e-02
1.115456700325012207e+00,7.215192168951034546e-02,2.165955901145935059e-01,1.036494821310043335e-01,9.431211650371551514e-02,2.785424292087554932e-01,2.437576949596405029e-01,4.741900786757469177e-02,-9.631171822547912598e-01,2.428730279207229614e-01,-3.483667969703674316e-01,9.937527775764465332e-02,-2.861513523384928703e-03
2.135066032409667969e+00,-2.460128962993621826e-01,9.960967302322387695e-02,-1.720099151134490967e-01,1.293871551752090454e-01,2.038017660379409790e-01,7.286263257265090942e-02,-2.457729727029800415e-01,-7.316045463085174561e-02,5.580168962478637695e-01,5.473836064338684082e-01,-1.129731163382530212e-01,-1.330911070108413696e-01
2.643492937088012695e+00,4.019224643707275391e-01,-1.550801247358322144e-01,-7.487127184867858887e-02,1.323981583118438721e-02,1.699604466557502747e-02,5.513159036636352539e-01,-1.434435725212097168e+00,1.664231568574905396e-01,2.335378080606460571e-01,2.506079375743865967e-01,1.038976088166236877e-01,6.939934100955724716e-03
2.094860315322875977e+00,3.567463532090187073e-02,-5.202411413192749023e-01,1.715307980775833130e-01,-6.938472390174865723e-02,1.494058221578598022e-01,8.254970312118530273e-01,-1.674091368913650513e-01,-4.359810650348663330e-01,-3.610970219597220421e-03,4.761695861816406250e-01,3.610524535179138184e-02,1.654079854488372803e-01
2.673223495483398438e+00,1.399888843297958374e-01,6.047954559326171875e-01,-5.228847265243530273e-03,-1.757101714611053467e-01,-4.403049349784851074e-01,-1.960262358188629150e-01,-4.729827940464019775e-01,-3.153115212917327881e-01,1.800279878079891205e-02,-5.015442371368408203e-01,-5.689075961709022522e-02,2.280205488204956055e-01
1.756335854530334473e+00,-1.057533845305442810e-01,-1.899846941232681274e-01,-2.872115373611450195e-02,1.244335323572158813e-01,-3.757842630147933960e-02,1.227268129587173462e-01,6.231666803359985352e-01,-1.045286536216735840e+00,-4.276232421398162842e-01,-3.564206659793853760e-01,2.339160302653908730e-03,-2.001424692571163177e-02
8.219360113143920898e-01,9.451655671000480652e-03,-6.899204850196838379e-02,-1.025757193565368652e-01,-5.054190754890441895e-02,-4.359764158725738525e-01,-4.982595145702362061e-01,-8.759384155273437500e-01,-3.569792509078979492e-01,-1.105534955859184265e-01,5.252608656883239746e-01,-1.452629268169403076e-01,-1.030728369951248169e-01
2.553692817687988281e+00,-4.830860793590545654e-01,2.777787446975708008e-01,8.156587183475494385e-02,1.997503489255905151e-01,-7.223069667816162109e-02,3.975917771458625793e-02,1.303714513778686523e+00,-7.389857620000839233e-02,-5.319283604621887207e-01,-3.572736084461212158e-01,1.054842993617057800e-01,-1.057252213358879089e-01
6.498450040817260742e-01,-7.811509072780609131e-02,-7.972267270088195801e-01,-1.615188866853713989e-01,-7.338671386241912842e-02,-3.659112155437469482e-01,-4.958877861499786377e-01,3.747648894786834717e-01,-1.704352200031280518e-01,1.086026430130004883e-01,-2.054781764745712280e-01,6.372943520545959473e-02,-1.668380945920944214e-01
6.036590039730072021e-02,1.790380179882049561e-01,-5.387014523148536682e-02,-8.133456110954284668e-03,1.797741800546646118e-01,-2.558082044124603271e-01,3.206941066309809685e-03,6.065414547920227051e-01,2.729024589061737061e-01,2.928410097956657410e-02,8.348786234855651855e-01,-4.546654969453811646e-02,1.232370510697364807e-01
1.763017892837524414e+00,-7.073330879211425781e-02,1.950988322496414185e-01,-1.146124526858329773e-01,-1.382192671298980713e-01,1.822865158319473267e-01,1.448569893836975098e-01,-4.593216478824615479e-01,-4.669166803359985352e-01,4.223738312721252441e-01,-8.858068287372589111e-02,2.513383887708187103e-02,7.708800584077835083e-02
2.524195909500122070e-01,7.587960958480834961e-01,-2.418250292539596558e-01,-1.609363108873367310e-01,1.479997783899307251e-01,4.269628822803497314e-01,-3.640723526477813721e-01,3.365958929061889648e-01,-2.318573892116546631e-01,1.580261439085006714e-01,-6.937674432992935181e-02,-1.437725722789764404e-01,-1.414591223001480103e-01
1.783611416816711426e+00,-2.918779850006103516e-01,4.940313994884490967e-01,1.025881916284561157e-01,-1.528187543153762817e-01,3.800313770771026611e-01,-4.812853783369064331e-02,-2.273332476615905762e-01,-2.054316997528076172e-01,-5.559924244880676270e-01,-2.810454666614532471e-01,-1.122543439269065857e-01,-7.517769932746887207e-02
2.191576957702636719e+00,-5.891110897064208984e-01,-3.266310989856719971e-01,4.726529121398925781e-02,-1.824164390563964844e-01,3.227550685405731201e-01,2.098026424646377563e-01,-2.170637845993041992e-01,8.845150470733642578e-01,1.328814178705215454e-01,-2.389897778630256653e-02,1.056665480136871338e-01,1.793233454227447510e-01
9.660582542419433594e-01,-4.422842860221862793e-01,4.852427542209625244e-01,8.789213001728057861e-02,-1.617520004510879517e-01,3.209243714809417725e-01,-6.865639239549636841e-02,4.563577771186828613e-01,-3.394099771976470947e-01,2.161245793104171753e-01,2.251604199409484863e-01,-9.292232245206832886e-02,1.902045011520385742e-01
2.000916004180908203e+00,6.035785675048828125e-01,-5.251869559288024902e-01,9.308755397796630859e-04,-1.359867453575134277e-01,5.215159654617309570e-01,-3.749048709869384766e-01,5.709006786346435547e-01,4.692325294017791748e-01,5.438624694943428040e-02,5.104933381080627441e-01,2.405896037817001343e-02,4.255978390574455261e-02
1.871331572532653809e+00,5.631412938237190247e-02,-1.405953317880630493e-01,-1.293194591999053955e-01,1.019388586282730103e-01,3.706655800342559814e-01,1.352070271968841553e-01,3.775123506784439087e-02,1.405909895896911621e+00,5.362905263900756836e-01,1.813344806432723999e-01,4.151922836899757385e-02,-7.196538150310516357e-03
1.355570077896118164e+00,-1.397178471088409424e-01,-1.361507475376129150e-01,1.446873694658279419e-01,4.962682723999023438e-03,-1.117458939552307129e-01,-1.474839150905609131e-01,-6.871539950370788574e-01,1.201896816492080688e-01,4.042761623859405518e-01,-1.961721479892730713e-01,-6.139657646417617798e-02,-2.072627842426300049e-02
1.730584979057312012e+00,5.677998065948486328e-01,-1.579634845256805420e-01,1.544820815324783325e-01,1.297230571508407593e-01,1.813396364450454712e-01,-5.019436478614807129e-01,1.810252815485000610e-01,1.419743418693542480e+00,3.817077875137329102e-01,3.476622402667999268e-01,-1.021117530763149261e-02,1.327048093080520630e-01
2.921974897384643555e+00,-1.045807972550392151e-01,5.005883798003196716e-02,1.140246242284774780e-01,-1.249297335743904114e-01,1.314709782600402832e-01,-2.560981810092926025e-01,5.255793333053588867e-01,8.380412459373474121e-01,-2.309958785772323608e-01,-4.016888514161109924e-02,-8.816580474376678467e-02,-1.763394623994827271e-01
3.650060296058654785e-01,9.436636418104171753e-02,-3.453290164470672607e-01,-1.438508033752441406e-01,2.156993746757507324e-02,-3.689748421311378479e-02,-1.590419709682464600e-01,4.221102893352508545e-01,3.808808028697967529e-01,-1.359512358903884888e-01,1.488885283470153809e-02,1.414807885885238647e-01,-1.452708840370178223e-01
4.231539741158485413e-02,2.254693210124969482e-01,-4.431044161319732666e-01,9.455977380275726318e-02,-1.459282040596008301e-01,1.662556082010269165e-01,1.142643764615058899e-01,-8.384515047073364258e-01,4.610866308212280273e-01,1.312448978424072266e-01,1.882242113351821899e-01,-1.419399678707122803e-01,-1.097430065274238586e-01
1.267446398735046387e+00,-2.119367867708206177e-01,3.194703953340649605e-03,1.354605108499526978e-01,-8.904320001602172852e-02,2.197347283363342285e-01,2.500057518482208252e-01,-2.843368947505950928e-01,-4.482744336128234863e-01,1.211408525705337524e-01,-3.062582612037658691e-01,1.375100463628768921e-01,1.758968234062194824e-01
9.600940942764282227e-01,1.116397231817245483e-02,1.420629471540451050e-01,1.018497198820114136e-01,-1.570524722337722778e-01,2.379109561443328857e-01,5.105091929435729980e-01,-3.627171218395233154e-01,-5.046784877777099609e-02,2.172715216875076294e-01,-2.273733317852020264e-01,1.268045753240585327e-01,-2.535385191440582275e-01
