parameter,median,lower,upper
theta_E,1.500727,1.469674,1.513858
e1_mass,-0.051761,-0.121608,-0.008740
e2_mass,0.003735,-0.037820,0.064107
gamma1,0.050532,0.013252,0.074397
gamma2,0.050880,0.027403,0.080278
e1_src,0.044866,-0.018575,0.118122
e2_src,0.046872,-0.021714,0.094242
center_x_src,-0.000543,-0.041699,0.013748
center_y_src,0.298547,0.283469,0.329429
e1_lens,-0.051682,-0.079552,-0.026390
e2_lens,0.001059,-0.021994,0.030022
center_x_lens,-0.000234,-0.006095,0.005270
center_y_lens,-0.000412,-0.006372,0.006111
