# theta_E,e1_mass,e2_mass,R_sersic_src,n_sersic_src,e1_src,e2_src,center_x_src,center_y_src,R_sersic_lens,n_sersic_lens,e1_lens,e2_lens
1.076248526573181152e+00,1.512808799743652344e-01,1.513172835111618042e-01,5.427672863006591797e-01,2.174459457397460938e+00,-1.346048563718795776e-01,-7.630462199449539185e-02,-7.326761484146118164e-01,7.405922412872314453e-01,2.037513554096221924e-01,3.914725780487060547e+00,-2.110258191823959351e-01,1.417803950607776642e-02
1.782936215400695801e+00,5.629798397421836853e-02,2.669473178684711456e-02,6.218790411949157715e-01,1.558746576309204102e+00,-8.896918594837188721e-02,9.960895776748657227e-02,3.768358528614044189e-01,3.845341503620147705e-01,1.900812506675720215e+00,3.912736892700195312e+00,-4.173837602138519287e-01,-2.018159329891204834e-01
1.721876978874206543e+00,6.130022183060646057e-02,1.966161280870437622e-01,1.352862596511840820e+00,2.163051605224609375e+00,-4.035658538341522217e-01,-6.362088322639465332e-01,6.191231012344360352e-01,7.011770606040954590e-01,1.162030026316642761e-01,3.310772180557250977e+00,2.530205249786376953e-01,-2.179319709539413452e-01
2.726908683776855469e+00,1.865155249834060669e-02,-8.783908188343048096e-02,1.989572525024414062e+00,6.305478811264038086e-01,5.788020491600036621e-01,3.632280826568603516e-01,-3.094906806945800781e-01,-2.680568099021911621e-01,1.472168922424316406e+00,4.091209888458251953e+00,3.763213753700256348e-02,-3.495659530162811279e-01
7.360979914665222168e-01,6.090047359466552734e-01,-4.119475781917572021e-01,1.000273466110229492e+00,2.162992000579833984e+00,-1.699865460395812988e-01,-4.883811175823211670e-01,-4.865062832832336426e-01,7.657252550125122070e-01,8.729344010353088379e-01,4.334838867187500000e+00,-3.317680656909942627e-01,-2.486412376165390015e-01
8.959891647100448608e-02,1.452410221099853516e-01,9.463922679424285889e-02,1.880290031433105469e+00,1.474017381668090820e+00,-2.512571811676025391e-01,-3.652760982513427734e-01,-7.643728703260421753e-02,-5.190908908843994141e-03,7.960729002952575684e-01,3.931050300598144531e+00,-4.908101260662078857e-01,9.557342529296875000e-02
2.266186922788619995e-01,3.146768510341644287e-01,-3.893792629241943359e-01,9.097842574119567871e-01,6.513067483901977539e-01,-4.150181263685226440e-02,8.262188173830509186e-03,9.676884412765502930e-01,3.203716874122619629e-02,1.443835735321044922e+00,3.561960935592651367e+00,2.169235497713088989e-01,1.283777803182601929e-01
1.355565190315246582e+00,1.523289531469345093e-01,-2.182371616363525391e-01,1.551488280296325684e+00,1.463370323181152344e+00,-2.964464724063873291e-01,1.699470579624176025e-01,-6.557251811027526855e-01,4.731112420558929443e-01,5.862476229667663574e-01,3.232036590576171875e+00,1.053679510951042175e-01,2.230978459119796753e-01
1.748123288154602051e+00,-3.290325403213500977e-02,2.657463252544403076e-01,5.557193234562873840e-02,1.344167709350585938e+00,-4.658736288547515869e-01,-3.626101911067962646e-01,4.981457293033599854e-01,-1.926359832286834717e-01,1.044702410697937012e+00,4.337951660156250000e+00,-9.720375388860702515e-02,2.059342712163925171e-01
2.573032081127166748e-01,-6.137960776686668396e-02,-1.721163541078567505e-01,1.157016277313232422e+00,9.419713616371154785e-01,3.665058016777038574e-01,-7.390131950378417969e-01,-8.248586654663085938e-01,4.785767197608947754e-01,2.294652611017227173e-01,4.012327194213867188e+00,8.637724071741104126e-02,8.386330306529998779e-02
