parameter,median,lower,upper
r_shift_x,0.019677,0.019280,0.020060
r_shift_y,-0.014961,-0.015345,-0.014576
r_rotation,0.015364,0.011843,0.018896
i_shift_x,0.000581,0.000172,0.001003
i_shift_y,0.000822,0.000397,0.001262
i_rotation,0.002603,-0.001259,0.006524
theta_E,1.499603,1.499064,1.500158
e1_mass,-0.052755,-0.053320,-0.052161
e2_mass,-0.000304,-0.000983,0.000338
R_sersic_src,0.300790,0.299212,0.302399
n_sersic_src,0.995549,0.987826,1.003100
e1_src,0.051960,0.049986,0.053964
e2_src,0.054999,0.052858,0.057093
center_x_src,0.001096,0.000335,0.001850
center_y_src,0.300103,0.299589,0.300650
R_sersic_lens,1.002891,0.994831,1.010802
n_sersic_lens,4.030639,4.011258,4.049340
e1_lens,-0.053182,-0.054200,-0.052132
e2_lens,-0.000646,-0.001678,0.000398
