parameter,median,lower,upper
r_shift_x,0.020602,0.020176,0.021022
r_shift_y,-0.015899,-0.016351,-0.015448
r_rotation,0.933023,0.698237,1.175703
i_shift_x,-0.000372,-0.000815,0.000061
i_shift_y,-0.001152,-0.001611,-0.000671
i_rotation,0.228087,-0.011543,0.475298
theta_E,1.499661,1.499068,1.500258
R_sersic_src_c0,0.349603,0.347945,0.351337
R_sersic_src_c1,-0.050725,-0.053078,-0.048312
R_sersic_src_c2,0.020180,0.017832,0.022578
n_sersic_src_c0,0.891653,0.884716,0.898554
n_sersic_src_c1,0.145892,0.135999,0.156148
n_sersic_src_c2,-0.032493,-0.042459,-0.022651
e1_src,0.051958,0.050104,0.053777
e2_src,0.054811,0.052962,0.056646
center_x_src,0.001276,0.000290,0.002328
center_y_src,0.300450,0.299851,0.301059
R_sersic_lens_c0,1.056353,1.048165,1.064483
R_sersic_lens_c1,0.018062,0.006212,0.029627
R_sersic_lens_c2,-0.027097,-0.039425,-0.014587
n_sersic_lens_c0,4.144188,4.125668,4.162656
n_sersic_lens_c1,-0.094420,-0.122140,-0.066449
n_sersic_lens_c2,0.027698,-0.000649,0.054469
e1_lens,-0.053058,-0.053590,-0.052526
e2_lens,-0.000511,-0.001108,0.000095
center_x_lens,-0.000196,-0.000385,-0.000001
center_y_lens,0.000354,0.000132,0.000571
