# theta_E,gamma1,gamma2,source_x,source_y
7.995308041572570801e-01,-1.185463666915893555e-01,9.630744159221649170e-02,1.665384471416473389e-01,1.703818142414093018e-01
7.750599980354309082e-01,2.381780743598937988e-02,-4.536807537078857422e-04,4.834735393524169922e-02,-2.437446862459182739e-01
1.360375165939331055e+00,1.616188883781433105e-02,-4.089097678661346436e-02,2.273744940757751465e-01,-1.701883375644683838e-01
9.538322687149047852e-01,9.627534449100494385e-02,1.135139912366867065e-01,2.590761184692382812e-01,-2.137275636196136475e-01
1.058922171592712402e+00,5.993057787418365479e-02,-1.461298465728759766e-01,2.473483681678771973e-01,-2.833717167377471924e-01
1.153522610664367676e+00,1.852053850889205933e-01,-3.448691964149475098e-02,-1.625248193740844727e-01,1.507705152034759521e-01
1.514747142791748047e+00,1.282750815153121948e-01,-1.012471318244934082e-02,-2.467778474092483521e-01,-2.520424127578735352e-01
1.006210565567016602e+00,-2.839416265487670898e-03,-1.401067376136779785e-01,-2.700313329696655273e-01,-1.355645507574081421e-01
1.419402122497558594e+00,3.713929653167724609e-02,1.120027452707290649e-01,2.035609483718872070e-01,1.641294062137603760e-01
8.848209977149963379e-01,-1.318011581897735596e-01,1.868925839662551880e-01,-2.098254412412643433e-01,-1.183697134256362915e-01
1.200848817825317383e+00,-1.061504483222961426e-01,-4.617944359779357910e-02,1.555033624172210693e-01,-2.790448665618896484e-01
7.136807441711425781e-01,-4.470896720886230469e-02,-6.254181265830993652e-03,-2.957963943481445312e-01,-1.936579495668411255e-01
1.178657650947570801e+00,4.253402352333068848e-02,1.301362067461013794e-01,-2.543971836566925049e-01,2.367187738418579102e-01
1.508061647415161133e+00,-1.856437921524047852e-01,5.828498303890228271e-02,1.894072592258453369e-01,2.577477693557739258e-01
1.289728760719299316e+00,-6.635700166225433350e-02,-1.605747640132904053e-02,-2.418564856052398682e-01,2.359038591384887695e-01
1.504098296165466309e+00,-7.334810495376586914e-02,-1.704242080450057983e-01,-2.703853249549865723e-01,-2.968387603759765625e-01
1.282639026641845703e+00,5.768726766109466553e-02,1.414622217416763306e-01,2.153584957122802734e-01,-5.576312541961669922e-02
1.177576780319213867e+00,-4.752485454082489014e-02,8.937378227710723877e-02,-1.946550607681274414e-01,9.454986453056335449e-02
8.516406416893005371e-01,1.143127530813217163e-01,-5.710303783416748047e-03,-2.176896035671234131e-01,-5.103591084480285645e-02
1.192262411117553711e+00,-1.401172131299972534e-01,-2.915038168430328369e-02,2.785800695419311523e-01,2.282856702804565430e-01
1.733574628829956055e+00,8.285836875438690186e-02,-1.254412233829498291e-01,2.643046975135803223e-01,1.141558885574340820e-01
1.049373388290405273e+00,-8.873625844717025757e-02,-2.285216748714447021e-02,-3.795495629310607910e-02,2.152088880538940430e-01
1.542474746704101562e+00,5.888506770133972168e-03,1.415231376886367798e-01,2.048462629318237305e-01,1.393427252769470215e-01
7.345199584960937500e-01,-1.647770404815673828e-02,4.485428333282470703e-02,-2.230437099933624268e-01,-2.911861240863800049e-01
1.401511669158935547e+00,-3.349958360195159912e-02,-3.319935500621795654e-02,1.099718511104583740e-01,-1.312254667282104492e-01
1.199647188186645508e+00,9.046877920627593994e-02,-1.386086940765380859e-01,-2.415456175804138184e-01,-1.052703708410263062e-01
1.083455562591552734e+00,-1.681999564170837402e-01,-1.755092442035675049e-01,2.064539194107055664e-01,-2.154312133789062500e-01
1.122635364532470703e+00,1.737319082021713257e-01,-1.621002405881881714e-01,2.746830582618713379e-01,9.013628959655761719e-02
9.873048067092895508e-01,-8.698923885822296143e-02,-1.048414111137390137e-01,-2.641443312168121338e-01,2.298372387886047363e-01
1.285976409912109375e+00,1.084715574979782104e-01,7.649056613445281982e-02,2.321875095367431641e-01,5.529391765594482422e-02
1.170504331588745117e+00,1.671033948659896851e-01,-4.285931587219238281e-02,-1.473634988069534302e-01,-2.899330556392669678e-01
1.234795570373535156e+00,-6.447598338127136230e-02,1.114171296358108521e-01,-9.080052375793457031e-03,2.738644480705261230e-01
1.124281883239746094e+00,2.638480067253112793e-02,9.917022287845611572e-02,-2.541015744209289551e-01,-1.440107226371765137e-01
1.610229134559631348e+00,-1.186540722846984863e-02,-7.713662832975387573e-02,5.260172486305236816e-02,2.717936038970947266e-01
1.570153236389160156e+00,1.064337342977523804e-01,-4.898414015769958496e-03,1.299739778041839600e-01,-2.730380594730377197e-01
1.467288970947265625e+00,1.101665347814559937e-01,-3.779217600822448730e-02,-1.524993181228637695e-01,-2.135664820671081543e-01
8.185058236122131348e-01,-1.517108976840972900e-01,-9.468495100736618042e-02,-2.524645924568176270e-01,7.124251127243041992e-02
1.159897089004516602e+00,1.208701282739639282e-01,5.117417871952056885e-02,1.507511436939239502e-01,-5.169259011745452881e-02
1.704812526702880859e+00,-5.975529551506042480e-02,-1.356450319290161133e-01,2.948967218399047852e-01,-5.725441873073577881e-02
1.262459754943847656e+00,8.189137279987335205e-02,-5.452132225036621094e-02,-9.267009794712066650e-02,2.336606979370117188e-01
1.009961485862731934e+00,-7.930512726306915283e-02,-7.953325659036636353e-02,-1.080820411443710327e-01,1.658099889755249023e-01
1.505497217178344727e+00,-1.368043869733810425e-01,-6.550610065460205078e-02,-2.405628412961959839e-01,-2.807574868202209473e-01
7.897034287452697754e-01,-1.715171635150909424e-01,1.729485243558883667e-01,2.144804000854492188e-01,-1.950111985206604004e-01
1.018142223358154297e+00,-1.467615365982055664e-02,-1.886891722679138184e-01,1.915472447872161865e-01,-7.270903885364532471e-02
1.745175361633300781e+00,-5.971011519432067871e-02,4.729659855365753174e-02,-1.884256005287170410e-01,-3.645896911621093750e-03
7.769979834556579590e-01,-2.874100208282470703e-02,-2.542048692703247070e-03,-1.713215261697769165e-01,-2.157792299985885620e-01
1.351957321166992188e+00,1.108085364103317261e-01,1.109768897294998169e-01,-2.146140038967132568e-01,-2.497898638248443604e-01
1.451457738876342773e+00,4.697641730308532715e-02,-5.978415906429290771e-02,2.530523538589477539e-01,-2.113045454025268555e-01
9.942660927772521973e-01,1.701676845550537109e-02,-1.345534622669219971e-01,1.420597434043884277e-01,-1.727444082498550415e-01
1.237263560295104980e+00,1.164509803056716919e-01,-1.268194019794464111e-01,2.083272337913513184e-01,2.647348642349243164e-01
1.498745679855346680e+00,1.662324517965316772e-01,1.371193975210189819e-01,-2.133859395980834961e-01,-2.755212485790252686e-01
7.391526699066162109e-01,1.184665709733963013e-01,-4.791791737079620361e-02,1.816280782222747803e-01,-1.525065004825592041e-01
8.988927602767944336e-01,-1.499981284141540527e-01,6.747521460056304932e-02,2.151702642440795898e-01,8.211255073547363281e-03
1.768496990203857422e+00,2.820594608783721924e-02,2.342429757118225098e-02,-1.211437135934829712e-01,-1.858920454978942871e-01
1.482507944107055664e+00,-3.162637352943420410e-03,-8.946859091520309448e-02,3.439271450042724609e-02,-2.198033630847930908e-01
7.142694592475891113e-01,4.448428750038146973e-02,-7.686107605695724487e-02,-2.557206451892852783e-01,-1.902708262205123901e-01
1.762727022171020508e+00,-2.629406750202178955e-02,1.179354041814804077e-01,-2.696669101715087891e-01,-2.975175380706787109e-01
9.773641824722290039e-01,-3.461357951164245605e-02,1.274490356445312500e-02,2.574619054794311523e-01,2.038037776947021484e-01
1.723817825317382812e+00,-5.793033540248870850e-02,-2.711132168769836426e-03,-2.453897148370742798e-01,-1.344299316406250000e-01
1.386399507522583008e+00,-5.095231533050537109e-02,-3.984154760837554932e-02,1.878050863742828369e-01,1.030493378639221191e-01
1.285176992416381836e+00,-5.418261885643005371e-02,1.142095476388931274e-01,-2.648385465145111084e-01,-2.139497697353363037e-01
1.226144075393676758e+00,-4.689252376556396484e-02,-6.925354897975921631e-02,2.146548032760620117e-01,4.579904675483703613e-02
9.682505130767822266e-01,1.423366218805313110e-01,8.163775503635406494e-02,2.815136313438415527e-01,-8.645890653133392334e-02
1.037149906158447266e+00,-1.449135839939117432e-01,-3.003856539726257324e-02,-2.063315212726593018e-01,-2.847494482994079590e-01
9.805117845535278320e-01,-1.240840554237365723e-02,1.304724067449569702e-01,-2.555138766765594482e-01,-4.436469078063964844e-02
1.121760249137878418e+00,-1.840801835060119629e-01,2.424867451190948486e-02,-2.036226391792297363e-01,-2.583900988101959229e-01
1.639622449874877930e+00,-6.077855825424194336e-03,6.200470030307769775e-02,-2.025782763957977295e-01,-1.939589977264404297e-01
8.345005512237548828e-01,1.032929271459579468e-01,1.836819499731063843e-01,-1.319728791713714600e-01,2.916680574417114258e-01
1.575650691986083984e+00,-1.784912645816802979e-01,6.097361445426940918e-03,2.448065280914306641e-01,2.924843430519104004e-01
8.360193371772766113e-01,6.626917421817779541e-02,4.962456226348876953e-02,-1.177571564912796021e-01,1.783102154731750488e-01
1.254815101623535156e+00,1.978249847888946533e-02,-2.154627442359924316e-02,-2.212702333927154541e-01,-3.182709217071533203e-02
1.091750621795654297e+00,-9.895097464323043823e-02,3.632847964763641357e-02,-2.776616215705871582e-01,-1.323912441730499268e-01
9.544513225555419922e-01,-1.378058791160583496e-01,1.611988693475723267e-01,3.239744901657104492e-02,2.340279817581176758e-01
1.044784665107727051e+00,2.854628860950469971e-02,7.968331873416900635e-02,-2.077202498912811279e-01,-1.700862199068069458e-01
7.839937806129455566e-01,9.867365658283233643e-02,4.260358214378356934e-02,1.099845468997955322e-01,-2.506856918334960938e-01
7.089828252792358398e-01,-1.771904081106185913e-01,5.502228438854217529e-02,2.112886905670166016e-01,-1.584642827510833740e-01
9.532912969589233398e-01,-8.392120897769927979e-02,1.942314058542251587e-01,-2.538699507713317871e-01,1.327550411224365234e-02
1.769030570983886719e+00,-2.416588366031646729e-02,1.111379116773605347e-01,-2.966332435607910156e-02,2.096070051193237305e-01
7.779347300529479980e-01,-1.555572003126144409e-01,-1.595295667648315430e-01,-8.775226771831512451e-02,-2.974939346313476562e-01
1.105935573577880859e+00,-6.121516227722167969e-03,-1.087128445506095886e-01,2.663548588752746582e-01,-3.479918837547302246e-02
7.991675734519958496e-01,-3.519859910011291504e-02,-1.980632543563842773e-02,-2.921583056449890137e-01,5.953088402748107910e-02
1.668013691902160645e+00,8.638535439968109131e-02,-7.393887639045715332e-02,-2.932457327842712402e-01,1.307335197925567627e-01
8.430328369140625000e-01,7.905365526676177979e-02,9.511555731296539307e-02,1.840175092220306396e-01,1.418148279190063477e-01
1.583526611328125000e+00,-3.425046801567077637e-02,6.197278201580047607e-02,-2.785631418228149414e-01,-1.955291926860809326e-01
1.255736351013183594e+00,1.530310958623886108e-01,6.363229453563690186e-02,-2.867619693279266357e-01,6.937348842620849609e-02
1.604192972183227539e+00,-7.069298624992370605e-02,-2.571347355842590332e-02,-2.263736724853515625e-01,2.898638248443603516e-01
8.386965990066528320e-01,-1.000650972127914429e-01,3.555381298065185547e-02,-7.327671349048614502e-02,-1.277459114789962769e-01
1.119249343872070312e+00,1.125996261835098267e-01,-8.316671848297119141e-02,-2.839715778827667236e-01,1.830840110778808594e-01
1.449515700340270996e+00,-9.352383762598037720e-02,1.757159829139709473e-02,-2.577830255031585693e-01,2.848480939865112305e-01
1.658700466156005859e+00,-7.400915026664733887e-03,-1.175034716725349426e-01,2.259069681167602539e-02,2.843306660652160645e-01
1.717156171798706055e+00,3.269752860069274902e-02,2.075597643852233887e-03,-1.590296924114227295e-01,-2.341566383838653564e-01
8.026373982429504395e-01,-1.941216439008712769e-01,6.779387593269348145e-03,2.460562586784362793e-01,-2.086457610130310059e-01
1.206146001815795898e+00,6.658329069614410400e-02,8.017478883266448975e-02,-2.920296192169189453e-01,1.989098489284515381e-01
1.201547622680664062e+00,6.695319712162017822e-02,1.588596552610397339e-01,2.159850597381591797e-01,-5.137848854064941406e-02
1.270668745040893555e+00,-1.861068606376647949e-02,1.953286677598953247e-01,1.753930747509002686e-01,2.769851088523864746e-01
7.684984207153320312e-01,2.629296481609344482e-02,6.828798353672027588e-02,-1.282429248094558716e-01,-4.738816618919372559e-02
8.714237213134765625e-01,-8.686958998441696167e-02,-6.955020129680633545e-02,2.881404161453247070e-01,-7.648591697216033936e-02
1.404700517654418945e+00,-9.196841716766357422e-02,-6.470502912998199463e-02,-2.636046111583709717e-01,1.650110185146331787e-01
8.676132559776306152e-01,-1.552196145057678223e-01,-1.293070763349533081e-01,-2.834427356719970703e-02,-1.840777397155761719e-01
7.206565737724304199e-01,3.040531277656555176e-02,2.215480804443359375e-02,-6.886562705039978027e-02,-3.512153029441833496e-02
1.674703121185302734e+00,-5.227507650852203369e-02,-2.822595834732055664e-02,1.499662101268768311e-01,1.496827602386474609e-01
1.740479946136474609e+00,1.222448498010635376e-01,2.354741096496582031e-03,1.396668851375579834e-01,-2.255087047815322876e-01
9.054070711135864258e-01,1.140029728412628174e-02,-5.205583572387695312e-02,1.814504563808441162e-01,7.015258073806762695e-03
1.601651191711425781e+00,-4.388862848281860352e-02,-5.872139334678649902e-02,-2.516354918479919434e-01,-4.483085870742797852e-02
