# theta_E,e1,e2,gamma1,gamma2,R_sersic,n_sersic,e1_src,e2_src,center_x_src,center_y_src
2.248909473419189453e+00,3.650917708873748779e-01,6.275145709514617920e-02,2.872753143310546875e-02,-8.888399600982666016e-02,1.524470806121826172e+00,1.713325977325439453e+00,-7.768786698579788208e-02,-5.333852954208850861e-03,-5.475330948829650879e-01,-7.650644183158874512e-01
2.866367816925048828e+00,8.051493018865585327e-02,2.788766920566558838e-01,-8.318487554788589478e-02,-1.053211763501167297e-01,1.772994637489318848e+00,9.819482564926147461e-01,4.024387151002883911e-02,5.573418140411376953e-01,-4.028651118278503418e-01,-4.792129993438720703e-01
1.080780386924743652e+00,-4.071065187454223633e-01,1.969813555479049683e-01,1.214886754751205444e-01,-1.097968220710754395e-02,3.375700861215591431e-02,1.494365692138671875e+00,-2.045464813709259033e-01,-8.681529760360717773e-02,-4.512561857700347900e-01,4.375081658363342285e-01
1.774779200553894043e+00,1.173777803778648376e-01,2.650959193706512451e-01,-1.985562294721603394e-01,-9.209977835416793823e-02,9.479122236371040344e-03,2.235360622406005859e+00,3.172470331192016602e-01,3.273364305496215820e-01,2.717178463935852051e-01,8.840389847755432129e-01
2.585324048995971680e+00,1.832031831145286560e-02,3.114623725414276123e-01,7.424406707286834717e-02,-8.658635616302490234e-02,1.475932002067565918e+00,1.427701950073242188e+00,3.529858589172363281e-01,4.149602651596069336e-01,6.451490521430969238e-01,-1.121136471629142761e-01
2.260684013366699219e+00,-1.031706705689430237e-01,3.290664553642272949e-01,-6.859377026557922363e-03,-6.724408268928527832e-02,6.208100318908691406e-01,1.866639852523803711e+00,4.493342638015747070e-01,8.226678967475891113e-01,-1.107703968882560730e-01,1.058068498969078064e-01
2.324022769927978516e+00,-6.003412231802940369e-02,2.860733568668365479e-01,1.192129403352737427e-01,-1.326423138380050659e-01,1.600686907768249512e+00,8.813001513481140137e-01,-2.975444197654724121e-01,1.509125530719757080e-01,-4.221878945827484131e-01,5.701108835637569427e-03
3.088843822479248047e-01,2.115324586629867554e-01,1.527938991785049438e-01,-7.514888048171997070e-02,-9.703673422336578369e-02,5.092672109603881836e-01,4.391732215881347656e-01,-1.618618071079254150e-01,1.638012677431106567e-01,-2.791003286838531494e-01,3.080125153064727783e-01
2.798997163772583008e+00,1.199196055531501770e-01,-3.491792827844619751e-02,1.729731708765029907e-01,9.752227365970611572e-02,9.445741772651672363e-01,7.663835883140563965e-01,5.173074081540107727e-02,-3.547207638621330261e-02,-4.396058320999145508e-01,9.213115274906158447e-02
1.023340702056884766e+00,-3.553401827812194824e-01,5.347574949264526367e-01,3.406977653503417969e-02,1.724243313074111938e-01,1.719926297664642334e-01,1.898856401443481445e+00,-2.641029655933380127e-01,5.702437758445739746e-01,6.529174000024795532e-02,-4.316002726554870605e-01
2.439882278442382812e+00,2.513618383090943098e-04,-1.761324107646942139e-01,-1.002636477351188660e-01,-1.154997497797012329e-01,1.943253517150878906e+00,7.661309242248535156e-01,3.772037923336029053e-01,-3.455114960670471191e-01,6.081190705299377441e-01,-1.699396073818206787e-01
1.055358409881591797e+00,-5.781398415565490723e-01,3.329152613878250122e-02,-6.754606962203979492e-03,-4.555138945579528809e-02,6.786440610885620117e-01,2.089796543121337891e+00,3.356103599071502686e-01,-7.178913354873657227e-01,-6.093370318412780762e-01,1.467959433794021606e-01
3.000029087066650391e+00,1.450282987207174301e-02,-5.698839426040649414e-01,1.661510765552520752e-02,-8.499085903167724609e-02,1.606287598609924316e+00,1.836440086364746094e+00,-1.138428598642349243e-01,-5.802258104085922241e-02,-9.077829122543334961e-01,2.441909909248352051e-01
7.576274871826171875e-02,-9.234686195850372314e-02,-3.005928397178649902e-01,-7.220086455345153809e-02,1.075704842805862427e-01,5.063067078590393066e-01,1.246085882186889648e+00,3.926093578338623047e-01,-6.094520166516304016e-02,-2.141390889883041382e-01,6.543970704078674316e-01
2.611592531204223633e+00,1.084854453802108765e-01,-4.293501079082489014e-01,1.491450518369674683e-01,7.742072641849517822e-02,4.070357680320739746e-01,1.180848836898803711e+00,-6.289353221654891968e-02,-2.121714353561401367e-01,2.194770574569702148e-01,5.361407995223999023e-01
8.559165596961975098e-01,-7.191662788391113281e-01,-2.848771512508392334e-01,-1.206288635730743408e-01,-1.013547256588935852e-01,4.029993414878845215e-01,8.477033376693725586e-01,-3.003195226192474365e-01,2.637147903442382812e-01,5.172605514526367188e-01,1.037049293518066406e-01
2.550673246383666992e+00,1.034637838602066040e-01,-4.392402470111846924e-01,-8.128007501363754272e-02,1.138308793306350708e-01,1.694733500480651855e+00,2.177522897720336914e+00,4.847038090229034424e-01,-2.223083525896072388e-01,2.113169133663177490e-01,-3.160059154033660889e-01
2.199026823043823242e+00,-8.312049321830272675e-03,1.493844296783208847e-02,1.989655643701553345e-01,-1.840009689331054688e-01,8.519861102104187012e-01,2.125838279724121094e+00,-1.064317449927330017e-01,3.844731152057647705e-01,-3.031364679336547852e-01,3.896367847919464111e-01
2.288302898406982422e+00,-2.171334624290466309e-01,4.134130105376243591e-02,1.460392922163009644e-01,1.158297508955001831e-01,4.880843162536621094e-01,1.114223122596740723e+00,1.477494388818740845e-01,2.836661338806152344e-01,-2.387987673282623291e-01,-1.881743818521499634e-01
2.522379398345947266e+00,-4.907295107841491699e-01,-1.813655942678451538e-01,-1.358333826065063477e-01,8.770687878131866455e-02,1.020737171173095703e+00,1.425971031188964844e+00,1.203540116548538208e-01,-2.509533166885375977e-01,-1.667690873146057129e-01,-3.533695340156555176e-01
2.956038475036621094e+00,-1.174040287733078003e-01,4.765386283397674561e-01,-2.244615554809570312e-02,-1.955827772617340088e-01,6.132042407989501953e-01,1.367713212966918945e+00,-1.484440863132476807e-01,-5.858251079916954041e-02,-5.972119793295860291e-02,-1.134396865963935852e-01
5.622406601905822754e-01,-4.558295905590057373e-01,-3.667843639850616455e-01,5.098700523376464844e-03,1.153749078512191772e-01,5.668165683746337891e-01,1.526091575622558594e+00,-3.725315928459167480e-01,3.153282999992370605e-01,-4.724246561527252197e-01,-2.743711769580841064e-01
1.761307716369628906e+00,2.923778593540191650e-01,4.057239592075347900e-01,-1.754538714885711670e-01,-4.576666653156280518e-02,1.313061863183975220e-01,1.605524063110351562e+00,6.820754706859588623e-02,4.094348847866058350e-01,-2.749209105968475342e-01,2.904402613639831543e-01
2.601540565490722656e+00,-2.461594641208648682e-01,-9.127267450094223022e-02,1.274706274271011353e-01,1.054454296827316284e-01,9.939158335328102112e-03,1.890670776367187500e+00,4.905243217945098877e-01,3.296450078487396240e-01,-2.425889112055301666e-02,6.883077025413513184e-01
2.285207748413085938e+00,-6.251711845397949219e-01,-9.277645498514175415e-02,7.349668443202972412e-02,-7.029041647911071777e-03,7.462441921234130859e-01,1.719834804534912109e+00,-4.326994717121124268e-01,4.753955602645874023e-01,7.613009959459304810e-02,4.998894333839416504e-01
1.192221045494079590e+00,-2.363046109676361084e-01,5.607930198311805725e-02,-1.335822939872741699e-01,8.866505324840545654e-02,3.418256044387817383e-01,1.577827930450439453e+00,4.626291617751121521e-02,6.454802751541137695e-01,-1.749622225761413574e-01,-3.370743989944458008e-01
