# theta_E,e1,e2,gamma1,gamma2,R_sersic,n_sersic,e1_src,e2_src,center_x_src,center_y_src
2.689650058746337891e+00,2.528877556324005127e-01,9.050122648477554321e-02,-1.554062962532043457e-02,9.686708450317382812e-03,3.576404154300689697e-01,5.373470187187194824e-01,-3.036306798458099365e-01,1.246561035513877869e-01,2.927904725074768066e-01,-4.054944813251495361e-01
2.502963542938232422e+00,-8.825881779193878174e-02,7.799247652292251587e-02,1.801857352256774902e-02,-1.803250759840011597e-01,1.799534261226654053e-01,1.574541330337524414e+00,-2.832441776990890503e-02,-1.280054003000259399e-01,7.934682965278625488e-01,2.740264497697353363e-02
1.088211387395858765e-01,-6.233539804816246033e-02,4.745155274868011475e-01,-4.043911397457122803e-02,-1.326727867126464844e-01,2.746120691299438477e-01,1.932635307312011719e+00,1.248276419937610626e-02,-2.227478772401809692e-01,5.997987464070320129e-02,1.048395782709121704e-01
2.662537097930908203e+00,1.097563877701759338e-01,-3.037077486515045166e-01,-1.991783082485198975e-01,1.419696211814880371e-02,8.601453900337219238e-01,1.084856390953063965e+00,1.747330427169799805e-01,-6.259936839342117310e-02,-7.262651808559894562e-03,4.235292598605155945e-02
2.731786012649536133e+00,-1.268626749515533447e-01,2.714363336563110352e-01,-1.913857907056808472e-01,1.997788101434707642e-01,1.700232267379760742e+00,1.586977243423461914e+00,2.619090676307678223e-01,2.956295311450958252e-01,2.152306139469146729e-01,1.044613122940063477e+00
2.566658854484558105e-01,-1.295283883810043335e-01,-5.788494274020195007e-02,-5.664342641830444336e-02,-9.397192299365997314e-02,1.377999305725097656e+00,1.816726207733154297e+00,1.426070630550384521e-01,1.236833482980728149e-01,1.553367078304290771e-01,7.762794941663742065e-02
2.408692836761474609e+00,4.757035374641418457e-01,1.845218092203140259e-01,-1.611425876617431641e-01,3.269322216510772705e-02,5.108211636543273926e-01,1.488431930541992188e+00,1.649141907691955566e-01,1.547743678092956543e-01,1.895171403884887695e-01,1.387315630912780762e+00
2.533180236816406250e+00,-1.141293868422508240e-01,1.596726924180984497e-01,-1.809665262699127197e-01,1.778832525014877319e-01,5.427131056785583496e-01,8.394035100936889648e-01,-1.607224792242050171e-01,7.509067654609680176e-02,4.372367560863494873e-01,-4.091653823852539062e-01
2.368064641952514648e+00,4.919131100177764893e-01,-9.107120335102081299e-02,-1.578730642795562744e-01,1.785355955362319946e-01,2.934284210205078125e-01,2.150747060775756836e+00,-1.892380863428115845e-01,2.988938689231872559e-01,8.931787610054016113e-01,-5.093293786048889160e-01
4.312607273459434509e-02,-2.400908470153808594e-01,-2.169747352600097656e-01,6.699915230274200439e-02,8.804991841316223145e-03,3.925863504409790039e-01,5.504993796348571777e-01,-6.041889786720275879e-01,-1.600798517465591431e-01,-1.588542014360427856e-01,6.517277956008911133e-01
2.407095670700073242e+00,-2.810620330274105072e-02,3.936301544308662415e-02,6.049643456935882568e-02,1.800111383199691772e-01,4.831425249576568604e-01,8.022978305816650391e-01,-7.986255735158920288e-02,-3.009308278560638428e-01,8.599379658699035645e-01,-1.084194034337997437e-01
2.572798728942871094e+00,-6.028823181986808777e-02,5.672594308853149414e-01,7.997889816761016846e-02,5.175158381462097168e-03,8.586550951004028320e-01,1.260246157646179199e+00,4.075055122375488281e-01,-4.394169151782989502e-01,-6.748344898223876953e-01,2.605404853820800781e-01
6.307495832443237305e-01,-1.124732419848442078e-01,-1.231676861643791199e-01,-3.485745191574096680e-02,-4.880413413047790527e-02,5.872646570205688477e-01,7.486608028411865234e-01,-1.114362999796867371e-01,6.144714727997779846e-02,-2.390077710151672363e-01,-4.174877405166625977e-01
2.973450183868408203e+00,-2.743045687675476074e-01,-1.642376482486724854e-01,-7.331961393356323242e-02,1.316584497690200806e-01,1.773158073425292969e+00,1.811915636062622070e+00,7.151138037443161011e-02,1.160349920392036438e-01,5.544588565826416016e-01,2.983817160129547119e-01
2.364453114569187164e-02,5.541437119245529175e-02,-3.296273350715637207e-01,-1.638538539409637451e-01,-1.790133565664291382e-01,1.563717007637023926e+00,9.141708612442016602e-01,-2.686181366443634033e-01,-1.271055936813354492e-01,5.722897648811340332e-01,7.695626616477966309e-01
2.079450607299804688e+00,6.445153951644897461e-01,-9.673675894737243652e-02,-6.614860892295837402e-02,-5.603045225143432617e-02,4.119355976581573486e-01,1.219537496566772461e+00,9.386102110147476196e-02,7.247794885188341141e-03,5.677541494369506836e-01,1.984799355268478394e-01
2.204561471939086914e+00,-2.198576331138610840e-01,-7.320734113454818726e-02,-1.116169765591621399e-01,1.962534040212631226e-01,1.554259300231933594e+00,2.027815103530883789e+00,-9.319389238953590393e-03,2.309980094432830811e-01,-5.161944776773452759e-02,5.950652956962585449e-01
2.867230176925659180e+00,3.807156682014465332e-01,-4.041480123996734619e-01,3.055150806903839111e-02,-8.178755640983581543e-03,1.178372263908386230e+00,1.287592411041259766e+00,7.292670756578445435e-02,-3.431152403354644775e-01,-4.601007401943206787e-01,-7.981897592544555664e-01
2.759522914886474609e+00,-1.904941722750663757e-02,1.501726210117340088e-01,1.685372740030288696e-01,-4.986524581909179688e-04,2.683849334716796875e-01,1.205104112625122070e+00,3.406341969966888428e-01,-3.450480103492736816e-01,-3.699598014354705811e-01,8.864387124776840210e-02
7.271975874900817871e-01,6.664323061704635620e-02,5.307140350341796875e-01,-1.221628412604331970e-01,-4.894283413887023926e-02,1.096823252737522125e-02,2.028606653213500977e+00,3.634742200374603271e-01,7.085020770318806171e-04,-5.799558162689208984e-01,3.760733306407928467e-01
2.677237033843994141e+00,5.076473951339721680e-01,2.250753492116928101e-01,3.796949982643127441e-02,8.986689150333404541e-02,1.942614793777465820e+00,1.792991161346435547e+00,-1.247310340404510498e-01,-7.894229888916015625e-02,7.770346999168395996e-01,-6.697573065757751465e-01
1.753364801406860352e-01,-3.114697635173797607e-01,3.349431455135345459e-01,6.833873689174652100e-02,9.956331551074981689e-02,5.820648670196533203e-01,5.150228738784790039e-01,-6.070061326026916504e-01,-3.150338232517242432e-01,4.039456844329833984e-01,3.900969326496124268e-01
3.803150728344917297e-02,-2.221484035253524780e-01,-1.927309185266494751e-01,-1.998380869626998901e-01,1.886595338582992554e-01,4.551722705364227295e-01,6.388691663742065430e-01,-2.015976607799530029e-01,1.304778009653091431e-01,2.705200314521789551e-01,-1.617919951677322388e-01
2.979993343353271484e+00,2.261776775121688843e-01,-1.619570553302764893e-01,-5.006372928619384766e-03,1.148248463869094849e-01,1.804602265357971191e+00,2.290440797805786133e+00,1.037124618887901306e-01,1.935374140739440918e-01,4.201603233814239502e-01,-2.811665236949920654e-01
7.973901629447937012e-01,-1.683606654405593872e-01,-1.600726395845413208e-01,9.355013072490692139e-02,-1.623542159795761108e-01,2.709025442600250244e-01,1.271510839462280273e+00,1.026663258671760559e-01,6.807411462068557739e-02,-5.155001580715179443e-02,-3.614706397056579590e-01
2.388299703598022461e+00,1.771951653063297272e-02,9.402641095221042633e-03,-2.636863291263580322e-02,-1.713837087154388428e-01,1.616358280181884766e+00,1.523028135299682617e+00,4.813552796840667725e-01,1.723396629095077515e-01,-1.867154389619827271e-01,-2.258365154266357422e-01
3.307998776435852051e-01,-1.495186053216457367e-02,-1.857994347810745239e-01,-3.517886996269226074e-02,-9.108356386423110962e-02,2.081657499074935913e-01,6.766180396080017090e-01,3.223442733287811279e-01,-4.732916057109832764e-01,-8.227595090866088867e-01,-4.294794201850891113e-01
2.820634841918945312e+00,2.486331462860107422e-01,-7.502634823322296143e-02,-6.653206050395965576e-02,6.221815943717956543e-03,1.342888355255126953e+00,7.303224205970764160e-01,3.253605663776397705e-01,1.503560245037078857e-01,4.789138734340667725e-01,-4.376960694789886475e-01
1.446062140166759491e-02,1.483748406171798706e-01,-3.099799156188964844e-01,-1.724144518375396729e-01,-9.387425333261489868e-02,7.861164212226867676e-01,4.694595038890838623e-01,-8.123614639043807983e-02,1.520251333713531494e-01,-4.167945683002471924e-01,1.935288161039352417e-01
1.155149340629577637e+00,2.781774699687957764e-01,7.763404846191406250e-01,-9.877228736877441406e-02,-7.275864481925964355e-02,1.260003447532653809e+00,8.516479134559631348e-01,-2.405079305171966553e-01,8.550661802291870117e-02,1.513675600290298462e-01,-4.677021503448486328e-01
