lens_name,thetaE_lens_l,thetaE_lens_m,thetaE_lens_u,Name,bSIE,qSIE,PASIE,LSIE_LdV,bLTM,gammaLTM,PAgLTM,LLTM_LdV,Nsrc,Ring_,Good_
J0008-0004,1.2531472104054477,1.2995705862043463,1.337294343331508,J0008-0004,1.16,0.70,35.2,0.393,1.14,0.09,37.6,0.387,3,No,No
J0029-0055,0.9411836823261404,0.9449633463835501,0.9480899566374335,J0029-0055,0.96,0.89,25.4,0.284,0.95,0.01,33.1,0.282,2,Yes,Yes
J0037-0942,1.4832208199268218,1.5123814795144814,1.541425559005479,J0037-0942,1.53,0.84,15.9,0.404,1.52,0.01,67.1,0.401,2,No,Yes
J0044+0113,0.727931255693096,0.7404623679549097,0.752174666234299,J0044+0113,0.79,0.66,7.4,0.218,0.76,0.12,19.4,0.211,2,No,Yes
J0109+1500,0.7457171228888135,0.7905457474364532,0.8276127003193433,J0109+1500,0.69,0.55,99.8,0.321,0.68,0.07,83.8,0.317,1,No,Yes
J0157-0056,1.0450687404879109,1.0726061766600583,1.0984915263790813,J0157-0056,0.79,0.72,102.6,0.401,0.67,0.24,103.1,0.362,3,No,No
J0216-0813,1.1169419806372405,1.138780598057903,1.1595282976167944,J0216-0813,1.16,0.79,73.3,0.283,1.15,0.03,78.6,0.282,3,No,Yes
J0252+0039,1.0278241343983903,1.0306915659224496,1.0331240998700146,J0252+0039,1.04,0.93,106.2,0.441,1.03,0.01,99.2,0.439,3,Yes,Yes
J0330-0020,1.060061829616381,1.079034091948157,1.0984409440970195,J0330-0020,1.10,0.81,113.2,0.459,1.04,0.07,113.9,0.443,3,No,Yes
J0405-0455,0.5134271100143418,0.535869131927988,0.5589188295346948,J0405-0455,0.80,0.72,21.0,0.355,0.79,0.05,23.5,0.354,1,Yes,Yes
J0728+3835,1.1868746554569969,1.19972452589189,1.2122657078776653,J0728+3835,1.25,0.85,67.6,0.392,1.25,0.01,170.6,0.393,4,Yes,Yes
J0737+3216,0.9657986294349026,0.968356674735561,0.9708402690484725,J0737+3216,1.00,0.67,98.8,0.239,0.97,0.10,97.8,0.233,2,Yes,Yes
J0822+2652,1.3023537878237903,1.3388718186336992,1.3682343742317895,J0822+2652,1.17,0.88,68.2,0.370,1.14,0.01,10.5,0.365,2,Yes,Yes
J0841+3824,0.30000040919784793,0.3001617210527674,0.30158549103744775,J0841+3824,1.41,0.79,91.4,0.242,1.36,0.05,10.2,0.236,2,No,Yes
J0903+4116,1.2846259989070894,1.2958114271780508,1.307469667046803,J0903+4116,1.29,0.90,161.3,0.396,1.27,0.02,142.4,0.393,2,Yes,No
J0912+0029,1.589204246065781,1.6127760130872528,1.6388100114501012,J0912+0029,1.63,0.56,8.2,0.288,1.62,0.10,5.1,0.286,1,Yes,Yes
J0935-0003,0.6195308644967146,0.6527399130094547,0.696590800149703,J0935-0003,0.87,0.69,22.2,0.160,0.81,0.13,27.0,0.152,1,No,Yes
J0936+0913,1.5742486544933108,1.6160782087488323,1.6381276335410644,J0936+0913,1.09,0.89,160.1,0.315,1.09,0.02,16.7,0.315,2,Yes,Yes
J0946+1006,1.402661592505377,1.404492757765979,1.4062730322398824,J0946+1006,1.38,0.81,159.2,0.355,1.39,0.08,157.9,0.357,2,Yes,Yes
J0955+0101,0.7107365665916412,0.725631280107826,0.740691797829909,J0955+0101,0.91,0.82,62.5,0.458,1.03,0.27,27.6,0.499,2,No,Yes
J0956+5100,1.3033362839566847,1.3058097080053477,1.3084932435583487,J0956+5100,1.33,0.63,146.2,0.356,1.30,0.11,144.2,0.351,1,Yes,Yes
J0959+0410,1.1100877884132476,1.1117639038946021,1.113548772587974,J0959+0410,0.99,0.86,66.9,0.397,1.01,0.07,142.1,0.402,2,No,Yes
J0959+4416,1.04527621832015,1.066548071693277,1.0919056537791583,J0959+4416,0.96,0.92,57.4,0.310,0.96,0.00,35.0,0.310,2,No,Yes
J1016+3859,3.03000911647755,3.1403985398360192,3.252931771267076,J1016+3859,1.09,0.78,46.4,0.414,1.06,0.08,38.9,0.406,2,No,Yes
J1020+1122,1.1019050730839,1.1163405368983121,1.1320150655782315,J1020+1122,1.20,0.80,135.8,0.413,1.21,0.10,152.6,0.416,2,No,Yes
J1023+4230,1.4947342544892408,1.503038009804371,1.510892324954141,J1023+4230,1.41,0.87,170.4,0.435,1.40,0.03,168.8,0.433,3,Yes,Yes
J1029+0420,1.9736977907822195,2.0231573229952056,2.0712360461487873,J1029+0420,1.01,0.84,93.9,0.378,1.10,0.17,48.0,0.401,1,No,Yes
J1032+5322,0.8672555295629762,0.8719304128150831,0.8761596845920743,J1032+5322,1.03,0.76,139.7,0.582,1.12,0.08,46.2,0.606,3,No,Yes
J1100+5329,1.3526435709006963,1.4053432970925417,1.4492953034256297,J1100+5329,1.52,0.53,105.3,0.384,1.43,0.19,113.4,0.369,2,No,No
J1103+5322,1.049657390642342,1.0603993158593772,1.0707106008003544,J1103+5322,1.02,0.52,51.7,0.342,1.04,0.05,71.9,0.348,1,Yes,Yes
J1106+5228,1.2315292564267246,1.2381964210495466,1.2446135518545371,J1106+5228,1.23,0.76,56.3,0.407,1.23,0.02,52.3,0.406,1,Yes,Yes
J1112+0826,1.3979637567351808,1.4420348862630525,1.4859028552251288,J1112+0826,1.49,0.75,146.5,0.503,1.37,0.03,166.7,0.482,2,No,Yes
J1134+6027,0.9736158427145059,1.0158574250310732,1.0459082984058725,J1134+6027,1.10,0.77,102.1,0.343,0.88,0.23,90.2,0.298,1,No,Yes
J1142+1001,0.5738514725357575,0.5970513151471439,0.6190455969013189,J1142+1001,0.98,0.83,99.5,0.320,0.92,0.06,89.8,0.307,1,No,Yes
J1143-0144,1.6758150688078546,1.6816524327301612,1.6872825172026247,J1143-0144,1.68,0.75,120.1,0.267,1.66,0.04,119.4,0.265,3,No,Yes
J1153+4612,2.5823259157148732,2.61482164542964,2.6465295873966217,J1153+4612,1.05,0.77,21.6,0.460,1.05,0.09,31.1,0.462,1,Yes,Yes
J1204+0358,1.2791271308042182,1.2948820904060787,1.3098665451459013,J1204+0358,1.31,0.84,65.4,0.455,1.27,0.08,64.6,0.446,2,Yes,Yes
J1205+4910,0.9153133078206328,0.9166036628299019,0.9179698622552692,J1205+4910,1.22,0.70,156.6,0.302,1.20,0.06,158.3,0.299,1,Yes,Yes
J1213+6708,1.3924345811931953,1.4063607595592538,1.4165521726903103,J1213+6708,1.42,0.83,14.5,0.297,1.38,0.02,164.6,0.292,1,No,Yes
J1218+0830,1.596265351428638,1.6123676702903333,1.628517375641851,J1218+0830,1.45,0.75,51.5,0.300,1.44,0.03,54.9,0.299,1,No,Yes
J1250+0523,1.1371970095012731,1.1459175098753842,1.1544382867381806,J1250+0523,1.13,0.96,130.8,0.366,1.11,0.01,140.5,0.362,5,Yes,Yes
J1251-0208,0.7552911638135091,0.7684648726046153,0.7839943678665534,J1251-0208,0.84,0.67,33.9,0.218,0.85,0.07,156.5,0.221,2,No,No
J1402+6321,1.3579648385183596,1.3677456373560128,1.3807367060276852,J1402+6321,1.35,0.83,64.4,0.316,1.36,0.02,34.4,0.317,2,Yes,Yes
J1403+0006,0.5650676032284476,0.5872530596709328,0.6099482309885027,J1403+0006,0.83,0.81,140.8,0.354,0.83,0.05,169.4,0.354,4,Yes,Yes
J1416+5136,1.4290274384804773,1.4404004725033683,1.4510987087995406,J1416+5136,1.37,0.94,71.4,0.483,1.36,0.04,96.7,0.482,3,No,Yes
J1420+6019,1.1011464011073986,1.1040523111258254,1.1073478887238388,J1420+6019,1.04,0.67,111.3,0.329,1.07,0.01,108.7,0.335,2,Yes,Yes
J1430+4105,1.4587170279043453,1.4621181048861218,1.4654936744132114,J1430+4105,1.52,0.68,111.7,0.355,1.46,0.10,110.3,0.344,6,Yes,Yes
J1432+6317,1.2919800232329173,1.3043914847376827,1.3176077668260577,J1432+6317,1.26,0.96,130.4,0.153,1.25,0.01,152.0,0.151,2,No,Yes
J1436-0000,1.0519791951598834,1.0780218675796878,1.1026918152665675,J1436-0000,1.12,0.72,156.2,0.315,1.08,0.07,162.6,0.308,1,No,Yes
J1443+0304,0.8391525138407996,0.8605743052698718,0.8872263838599898,J1443+0304,0.81,0.73,78.1,0.438,0.78,0.08,97.9,0.427,1,No,Yes
J1451-0239,2.484669208712533,2.757480496899139,3.0447134194933785,J1451-0239,1.04,0.97,106.3,0.277,1.03,0.02,113.8,0.274,1,No,Yes
J1525+3327,1.2542751082251518,1.2859724439754385,1.3142950420861754,J1525+3327,1.31,0.51,134.3,0.292,1.30,0.11,132.5,0.291,1,No,Yes
J1531-0105,1.686566421500347,1.702361547373683,1.7187419828330581,J1531-0105,1.71,0.77,142.9,0.393,1.71,0.03,139.4,0.393,2,Yes,Yes
J1538+5817,0.7528572735856456,0.7980260318305575,0.9352706616560844,J1538+5817,1.00,0.89,152.1,0.365,0.99,0.01,146.6,0.363,2,Yes,Yes
J1621+3931,1.2294218076685854,1.25001758675561,1.2713603060742291,J1621+3931,1.29,0.77,148.7,0.358,1.29,0.03,161.9,0.358,1,No,Yes
J1627-0053,1.210576800770074,1.2139374446318891,1.217269823395814,J1627-0053,1.23,0.91,10.5,0.360,1.22,0.00,60.6,0.359,1,Yes,Yes
J1630+4520,1.7406582153898513,1.7550144151608924,1.7698195412076136,J1630+4520,1.78,0.87,74.9,0.475,1.78,0.02,84.1,0.475,4,Yes,Yes
J1636+4707,0.9226816535702992,0.9489668686771884,0.958631713915533,J1636+4707,1.09,0.79,98.2,0.380,1.08,0.04,91.9,0.380,2,Yes,Yes
J2238-0754,1.379125446286285,1.3867286662840854,1.3940470457475578,J2238-0754,1.27,0.85,137.4,0.335,1.28,0.00,72.2,0.335,2,Yes,Yes
J2300+0022,1.2291481540135292,1.2443119233461348,1.259178606123699,J2300+0022,1.24,0.71,87.8,0.391,1.21,0.08,90.0,0.386,1,Yes,Yes
J2303+1422,0.7394138514230543,0.7727238414407342,0.8025682262047154,J2303+1422,1.62,0.61,35.3,0.318,1.60,0.07,33.8,0.316,2,Yes,Yes
J2321-0939,1.4623685951724248,1.4791647638707615,1.4960364800647306,J2321-0939,1.60,0.86,135.2,0.258,1.60,0.01,172.6,0.258,2,Yes,Yes
J2341+0000,1.3753445503250956,1.379153473011124,1.3827229124495484,J2341+0000,1.44,0.76,96.6,0.295,1.47,0.07,143.3,0.299,4,Yes,Yes
