lens_name,_RA1,_DE1,zFG1,zBG1,bSIE,thetaE_lens_l,thetaE_lens_m,thetaE_lens_u
J0008-0004,2.01233,-0.06894,0.4400,1.1924,1.16,1.210421822915457,1.2495334997390313,1.2905688450722275
J0029-0055,7.28237,-0.93069,0.2270,0.9313,0.96,0.9446787800963619,0.9486066759400518,0.9522144071106715
J0037-0942,9.47171,-9.70558,0.1955,0.6322,1.53,1.4854573657653234,1.5115519581242176,1.5372779563868435
J0044+0113,11.01208,1.22017,0.1196,0.1965,0.79,0.7567108537556139,0.768552885839016,0.7789166460937245
J0109+1500,17.39054,15.00903,0.2939,0.5248,0.69,0.7013198970820183,0.7523084137115348,0.8138056948372396
J0157-0056,29.49558,-0.94058,0.5132,0.9243,0.79,1.0289341751589027,1.0564484490468293,1.0823239524648238
J0216-0813,34.21892,-8.22925,0.3317,0.5235,1.16,1.2058776887173328,1.228324049770906,1.2508486322312453
J0252+0039,43.18837,0.66622,0.2803,0.9818,1.04,1.0277974929225264,1.0306941982184858,1.033258760965439
J0330-0020,52.55058,-0.34775,0.3507,1.0709,1.1,1.061307644901161,1.078848906476705,1.0972409812517365
J0405-0455,61.39754,-4.93122,0.0753,0.8098,0.8,0.6006776616854403,0.6568631551882447,0.7105304080565717
J0728+3835,112.02062,38.59047,0.2058,0.6877,1.25,1.1721096015705745,1.1853299821307266,1.199187478056437
J0737+3216,114.36854,32.27183,0.3223,0.5812,1.0,0.9657591458331576,0.9683649440824005,0.9707842108647651
J0822+2652,125.67633,26.87875,0.2414,0.5941,1.17,1.4718370189792032,1.4894285438537795,1.5068260673525393
J0841+3824,130.37004,38.40381,0.1159,0.6567,1.41,0.5246514640878697,0.5292987933852107,0.5325725002758197
J0903+4116,135.81329,41.26919,0.4304,1.0645,1.29,1.2849403468055605,1.2957766062999065,1.306926066933825
J0912+0029,138.02212,0.48367,0.1642,0.3239,1.63,1.5543720009442445,1.5728717167532762,1.590746945066256
J0935-0003,143.93304,-0.05967,0.3475,0.4670,0.87,0.6155315126787235,0.6513507767464422,0.6936581818129621
J0936+0913,144.00321,9.22661,0.1897,0.5880,1.09,1.7567770673885748,1.830778462405196,1.8960013960855568
J0946+1006,146.73617,10.11467,0.2219,0.6085,1.38,1.4027657792275818,1.4045189886014007,1.4063056401641378
J0955+0101,148.83217,1.02900,0.1109,0.3159,0.91,0.6318001306570882,0.6479928276122262,0.6917571711620942
